2010,1,4,0.5,3,0,0,0
2011,1,4,0.5,3,0,0,0
2013,5,4,0.5,3,0,0,0
1952,6,4,0.5,3,0,0,0
1638,0,-1,1,3,9581,4,4
1792,0,-1,1,3,0,0,0
1821,0,-1,1,3,0,0,0
344,1,-1,1,3,0,0,0
1835,1,-1,1,3,0,3,3
1965,1,-1,1,3,0,1,0
1816,8,-1,1,3,0,0,0
1857,1,0,1,3,0,0,0
1920,1,0,1,3,0,3,3
1924,1,0,1,3,0,0,0
1930,1,0,1,3,0,0,0
2012,8,0,1,3,0,0,0
1645,1,1,1,3,600,4,4
1671,1,1,1,3,0,0,0
1863,1,1,1,3,0,0,0
1888,1,1,1,3,0,3,3
1902,1,1,1,3,0,0,0
1904,1,1,1,3,0,0,0
1919,1,1,1,3,0,0,0
1571,0,2,1,3,0,0,0
1789,0,2,1,3,0,0,0
1889,0,2,1,3,0,0,0
1498,1,2,1,3,0,1,0
1752,1,2,1,3,0,0,0
1766,1,2,1,3,1700,3,4
1822,1,2,1,3,0,0,0
1925,1,2,1,3,0,3,3
1925,1,2,1,3,0,0,0
1982,1,2,1,3,0,0,0
1341,1,3,1,3,0,0,0
1571,1,3,1,3,0,0,0
1627,1,3,1,3,5000,0,0
1770,1,3,1,3,0,0,0
1845,1,3,1,3,0,2,3
1854,1,3,1,3,0,0,0
1864,1,3,1,3,0,0,0
1889,1,3,1,3,0,2,0
1921,1,3,1,3,0,1,1
1953,1,3,1,3,0,0,0
2009,1,3,1,3,0,0,0
704,1,4,1,3,0,0,0
1662,1,4,1,3,200,2,4
1670,1,4,1,3,0,0,0
1677,1,4,1,3,0,3,4
1707,1,4,1,3,0,0,0
1711,1,4,1,3,1000,3,4
1792,1,4,1,3,0,1,0
1835,1,4,1,3,53,4,3
1897,1,4,1,3,0,2,3
1911,1,4,1,3,0,0,0
1917,1,4,1,3,1500,2,2
1918,1,4,1,3,2000,2,0
1923,1,4,1,3,0,1,0
1929,1,4,1,3,0,0,0
1936,1,4,1,3,0,0,0
1938,1,4,1,3,0,0,0
1938,1,4,1,3,0,0,0
1951,1,4,1,3,0,0,0
1962,1,4,1,3,0,0,0
1964,1,4,1,3,139,4,3
1978,1,4,1,3,0,0,0
1982,1,4,1,3,0,0,0
2006,1,4,1,3,0,1,0
2011,1,4,1,3,0,0,0
1899,3,4,1,3,0,3,0
1945,3,4,1,3,2306,4,4
1883,6,4,1,3,0,1,1
1928,7,4,1,3,170,4,4
1682,0,-1,1.5,3,0,0,0
1690,0,-1,1.5,3,0,0,0
1699,0,-1,1.5,3,0,0,0
1924,0,-1,1.5,3,0,1,0
1913,4,-1,1.5,3,0,2,3
123,1,0,1.5,3,0,1,2
1562,0,1,1.5,3,0,3,0
1700,1,2,1.5,3,1001,3,3
1757,1,2,1.5,3,1053,3,4
1859,1,2,1.5,3,0,0,0
1910,1,2,1.5,3,0,0,0
